tanggal,komoditas,lokasi,harga
2026-06-13,Tepung Terigu,Rata-rata DKI Jakarta,11470
2026-06-13,Garam Dapur,Rata-rata DKI Jakarta,4852
2026-06-13,Kentang (sedang),Rata-rata DKI Jakarta,19472
2026-06-13,Tomat Buah,Rata-rata DKI Jakarta,19246
2026-06-13,Kelapa Kupas,Rata-rata DKI Jakarta,14870
2026-06-13,Semangka,Rata-rata DKI Jakarta,14008
2026-06-13,Jeruk Medan,Rata-rata DKI Jakarta,31417
2026-06-13,Daging Kambing,Rata-rata DKI Jakarta,154250
2026-06-13,Daging Babi Berlemak,Rata-rata DKI Jakarta,104778
2026-06-13,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,44095
2026-06-13,Ikan Mas,Rata-rata DKI Jakarta,41983
2026-06-13,Ikan Lele,Rata-rata DKI Jakarta,30483
2026-06-13,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20533
2026-06-13,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-13,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,51250
2026-06-13,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13348
2026-06-13,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12100
2026-06-13,Margarin Blueband Cup,Rata-rata DKI Jakarta,18017
2026-06-13,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10592
2026-06-13,Beras Medium,Rata-rata DKI Jakarta,14000
2026-06-13,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,18917
2026-06-13,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,22708
2026-06-13,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17975
2026-06-13,Daging Sapi,Rata-rata DKI Jakarta,149444
2026-06-13,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,43750
2026-06-13,Ikan Kembung,Rata-rata DKI Jakarta,48333
2026-06-13,Kacang Kedelai,Rata-rata DKI Jakarta,18556
2026-06-14,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15532
2026-06-14,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14509
2026-06-14,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13728
2026-06-14,Beras Muncul I,Rata-rata DKI Jakarta,15361
2026-06-14,Beras IR 42/Pera,Rata-rata DKI Jakarta,16344
2026-06-14,Beras Setra I/Premium,Rata-rata DKI Jakarta,17261
2026-06-14,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21550
2026-06-14,Cabe Merah Keriting,Rata-rata DKI Jakarta,55850
2026-06-14,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,69400
2026-06-14,Cabe Rawit Merah,Rata-rata DKI Jakarta,80300
2026-06-14,Cabe Rawit Hijau,Rata-rata DKI Jakarta,61917
2026-06-14,Bawang Merah,Rata-rata DKI Jakarta,58117
2026-06-14,Bawang Putih,Rata-rata DKI Jakarta,43320
2026-06-14,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,152917
2026-06-14,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,147833
2026-06-14,Ayam Broiler/Ras,Rata-rata DKI Jakarta,43550
2026-06-14,Telur Ayam Ras,Rata-rata DKI Jakarta,28033
2026-06-14,Gula Pasir,Rata-rata DKI Jakarta,18700
2026-06-14,Tepung Terigu,Rata-rata DKI Jakarta,11413
2026-06-14,Garam Dapur,Rata-rata DKI Jakarta,4517
2026-06-14,Kentang (sedang),Rata-rata DKI Jakarta,19447
2026-06-14,Tomat Buah,Rata-rata DKI Jakarta,19057
2026-06-14,Kelapa Kupas,Rata-rata DKI Jakarta,14733
2026-06-14,Semangka,Rata-rata DKI Jakarta,13350
2026-06-14,Jeruk Medan,Rata-rata DKI Jakarta,32067
2026-06-14,Daging Kambing,Rata-rata DKI Jakarta,152833
2026-06-14,Daging Babi Berlemak,Rata-rata DKI Jakarta,91667
2026-06-14,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,42767
2026-06-14,Ikan Mas,Rata-rata DKI Jakarta,42537
2026-06-14,Ikan Lele,Rata-rata DKI Jakarta,30550
2026-06-14,Gas Elpiji 3kg,Rata-rata DKI Jakarta,19500
2026-06-14,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-14,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,51667
2026-06-14,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13320
2026-06-14,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12133
2026-06-14,Margarin Blueband Cup,Rata-rata DKI Jakarta,18200
2026-06-14,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10633
2026-06-14,Beras Medium,Rata-rata DKI Jakarta,14000
2026-06-14,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,19000
2026-06-14,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,21875
2026-06-14,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17975
2026-06-14,Daging Sapi,Rata-rata DKI Jakarta,150000
2026-06-14,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,38750
2026-06-14,Ikan Kembung,Rata-rata DKI Jakarta,48333
2026-06-14,Kacang Kedelai,Rata-rata DKI Jakarta,20250
2026-06-16,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15612
2026-06-16,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14542
2026-06-16,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13742
2026-06-16,Beras Muncul I,Rata-rata DKI Jakarta,16167
2026-06-16,Beras IR 42/Pera,Rata-rata DKI Jakarta,15967
2026-06-16,Beras Setra I/Premium,Rata-rata DKI Jakarta,17050
2026-06-16,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21813
2026-06-16,Cabe Merah Keriting,Rata-rata DKI Jakarta,56638
2026-06-16,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,64167
2026-06-16,Cabe Rawit Merah,Rata-rata DKI Jakarta,77717
2026-06-16,Cabe Rawit Hijau,Rata-rata DKI Jakarta,60860
2026-06-16,Bawang Merah,Rata-rata DKI Jakarta,58410
2026-06-16,Bawang Putih,Rata-rata DKI Jakarta,43381
2026-06-16,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,152838
2026-06-16,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,148190
2026-06-16,Ayam Broiler/Ras,Rata-rata DKI Jakarta,41936
2026-06-16,Telur Ayam Ras,Rata-rata DKI Jakarta,27317
2026-06-16,Gula Pasir,Rata-rata DKI Jakarta,18652
2026-06-16,Tepung Terigu,Rata-rata DKI Jakarta,11383
2026-06-16,Garam Dapur,Rata-rata DKI Jakarta,4608
2026-06-16,Kentang (sedang),Rata-rata DKI Jakarta,19597
2026-06-16,Tomat Buah,Rata-rata DKI Jakarta,19021
2026-06-16,Kelapa Kupas,Rata-rata DKI Jakarta,14650
2026-06-16,Semangka,Rata-rata DKI Jakarta,13967
2026-06-16,Jeruk Medan,Rata-rata DKI Jakarta,32653
2026-06-16,Daging Kambing,Rata-rata DKI Jakarta,151500
2026-06-16,Daging Babi Berlemak,Rata-rata DKI Jakarta,104778
2026-06-16,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,44195
2026-06-16,Ikan Mas,Rata-rata DKI Jakarta,41750
2026-06-16,Ikan Lele,Rata-rata DKI Jakarta,31067
2026-06-16,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20500
2026-06-16,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-16,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,52250
2026-06-16,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13264
2026-06-16,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12027
2026-06-16,Margarin Blueband Cup,Rata-rata DKI Jakarta,17950
2026-06-16,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10629
2026-06-16,Beras Medium,Rata-rata DKI Jakarta,13000
2026-06-16,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,18792
2026-06-16,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,22917
2026-06-16,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,16954
2026-06-16,Daging Sapi,Rata-rata DKI Jakarta,147500
2026-06-16,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,40208
2026-06-16,Ikan Kembung,Rata-rata DKI Jakarta,46667
2026-06-16,Kacang Kedelai,Rata-rata DKI Jakarta,20334
2026-06-17,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15524
2026-06-17,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14640
2026-06-17,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13862
2026-06-17,Beras Muncul I,Rata-rata DKI Jakarta,15922
2026-06-17,Beras IR 42/Pera,Rata-rata DKI Jakarta,16185
2026-06-17,Beras Setra I/Premium,Rata-rata DKI Jakarta,17048
2026-06-17,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21674
2026-06-17,Cabe Merah Keriting,Rata-rata DKI Jakarta,54764
2026-06-17,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,63100
2026-06-17,Cabe Rawit Merah,Rata-rata DKI Jakarta,78090
2026-06-17,Cabe Rawit Hijau,Rata-rata DKI Jakarta,61286
2026-06-17,Bawang Merah,Rata-rata DKI Jakarta,57069
2026-06-17,Bawang Putih,Rata-rata DKI Jakarta,44110
2026-06-17,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,153155
2026-06-17,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,148924
2026-06-17,Ayam Broiler/Ras,Rata-rata DKI Jakarta,42417
2026-06-17,Telur Ayam Ras,Rata-rata DKI Jakarta,27842
2026-06-17,Gula Pasir,Rata-rata DKI Jakarta,18509
2026-06-17,Tepung Terigu,Rata-rata DKI Jakarta,11403
2026-06-17,Garam Dapur,Rata-rata DKI Jakarta,4554
2026-06-17,Kentang (sedang),Rata-rata DKI Jakarta,19522
2026-06-17,Tomat Buah,Rata-rata DKI Jakarta,19662
2026-06-17,Kelapa Kupas,Rata-rata DKI Jakarta,14637
2026-06-17,Semangka,Rata-rata DKI Jakarta,13942
2026-06-17,Jeruk Medan,Rata-rata DKI Jakarta,31917
2026-06-17,Daging Kambing,Rata-rata DKI Jakarta,152900
2026-06-17,Daging Babi Berlemak,Rata-rata DKI Jakarta,104778
2026-06-17,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,43929
2026-06-17,Ikan Mas,Rata-rata DKI Jakarta,41983
2026-06-17,Ikan Lele,Rata-rata DKI Jakarta,30383
2026-06-17,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20533
2026-06-17,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-17,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,52250
2026-06-17,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13331
2026-06-17,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12067
2026-06-17,Margarin Blueband Cup,Rata-rata DKI Jakarta,17940
2026-06-17,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10642
2026-06-17,Beras Medium,Rata-rata DKI Jakarta,13500
2026-06-17,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,18875
2026-06-17,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,22604
2026-06-17,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17492
2026-06-17,Daging Sapi,Rata-rata DKI Jakarta,149444
2026-06-17,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,41250
2026-06-17,Ikan Kembung,Rata-rata DKI Jakarta,47222
2026-06-17,Kacang Kedelai,Rata-rata DKI Jakarta,18556
2026-06-18,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15573
2026-06-18,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14698
2026-06-18,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13967
2026-06-18,Beras Muncul I,Rata-rata DKI Jakarta,15817
2026-06-18,Beras IR 42/Pera,Rata-rata DKI Jakarta,16274
2026-06-18,Beras Setra I/Premium,Rata-rata DKI Jakarta,16791
2026-06-18,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21611
2026-06-18,Cabe Merah Keriting,Rata-rata DKI Jakarta,57683
2026-06-18,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,63967
2026-06-18,Cabe Rawit Merah,Rata-rata DKI Jakarta,77912
2026-06-18,Cabe Rawit Hijau,Rata-rata DKI Jakarta,60617
2026-06-18,Bawang Merah,Rata-rata DKI Jakarta,57360
2026-06-18,Bawang Putih,Rata-rata DKI Jakarta,44303
2026-06-18,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,154155
2026-06-18,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,149190
2026-06-18,Ayam Broiler/Ras,Rata-rata DKI Jakarta,41257
2026-06-18,Telur Ayam Ras,Rata-rata DKI Jakarta,27792
2026-06-18,Gula Pasir,Rata-rata DKI Jakarta,18609
2026-06-18,Tepung Terigu,Rata-rata DKI Jakarta,11390
2026-06-18,Garam Dapur,Rata-rata DKI Jakarta,4611
2026-06-18,Kentang (sedang),Rata-rata DKI Jakarta,19457
2026-06-18,Tomat Buah,Rata-rata DKI Jakarta,19611
2026-06-18,Kelapa Kupas,Rata-rata DKI Jakarta,14467
2026-06-18,Semangka,Rata-rata DKI Jakarta,13559
2026-06-18,Jeruk Medan,Rata-rata DKI Jakarta,33367
2026-06-18,Daging Kambing,Rata-rata DKI Jakarta,153625
2026-06-18,Daging Babi Berlemak,Rata-rata DKI Jakarta,107833
2026-06-18,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,44429
2026-06-18,Ikan Mas,Rata-rata DKI Jakarta,41123
2026-06-18,Ikan Lele,Rata-rata DKI Jakarta,30413
2026-06-18,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20667
2026-06-18,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-18,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,52250
2026-06-18,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13383
2026-06-18,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12000
2026-06-18,Margarin Blueband Cup,Rata-rata DKI Jakarta,17780
2026-06-18,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10762
2026-06-18,Beras Medium,Rata-rata DKI Jakarta,13500
2026-06-18,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,18813
2026-06-18,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,23063
2026-06-18,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17300
2026-06-18,Daging Sapi,Rata-rata DKI Jakarta,149444
2026-06-18,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,44375
2026-06-18,Ikan Kembung,Rata-rata DKI Jakarta,47917
2026-06-18,Kacang Kedelai,Rata-rata DKI Jakarta,15556
2026-06-19,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15337
2026-06-19,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14660
2026-06-19,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13826
2026-06-19,Beras Muncul I,Rata-rata DKI Jakarta,15858
2026-06-19,Beras IR 42/Pera,Rata-rata DKI Jakarta,16405
2026-06-19,Beras Setra I/Premium,Rata-rata DKI Jakarta,16854
2026-06-19,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21587
2026-06-19,Cabe Merah Keriting,Rata-rata DKI Jakarta,54409
2026-06-19,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,63267
2026-06-19,Cabe Rawit Merah,Rata-rata DKI Jakarta,75760
2026-06-19,Cabe Rawit Hijau,Rata-rata DKI Jakarta,60036
2026-06-19,Bawang Merah,Rata-rata DKI Jakarta,55498
2026-06-19,Bawang Putih,Rata-rata DKI Jakarta,45041
2026-06-19,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,153321
2026-06-19,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,143664
2026-06-19,Ayam Broiler/Ras,Rata-rata DKI Jakarta,42059
2026-06-19,Telur Ayam Ras,Rata-rata DKI Jakarta,27709
2026-06-19,Gula Pasir,Rata-rata DKI Jakarta,18586
2026-06-19,Tepung Terigu,Rata-rata DKI Jakarta,11257
2026-06-19,Garam Dapur,Rata-rata DKI Jakarta,4507
2026-06-19,Kentang (sedang),Rata-rata DKI Jakarta,19299
2026-06-19,Tomat Buah,Rata-rata DKI Jakarta,19377
2026-06-19,Kelapa Kupas,Rata-rata DKI Jakarta,14593
2026-06-19,Semangka,Rata-rata DKI Jakarta,13893
2026-06-19,Jeruk Medan,Rata-rata DKI Jakarta,32467
2026-06-19,Daging Kambing,Rata-rata DKI Jakarta,146050
2026-06-19,Daging Babi Berlemak,Rata-rata DKI Jakarta,106167
2026-06-19,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,44445
2026-06-19,Ikan Mas,Rata-rata DKI Jakarta,42040
2026-06-19,Ikan Lele,Rata-rata DKI Jakarta,30413
2026-06-19,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20533
2026-06-19,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-19,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,52250
2026-06-19,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13544
2026-06-19,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,11960
2026-06-19,Margarin Blueband Cup,Rata-rata DKI Jakarta,18130
2026-06-19,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10575
2026-06-19,Beras Medium,Rata-rata DKI Jakarta,13500
2026-06-19,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,18813
2026-06-19,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,22938
2026-06-19,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17300
2026-06-19,Daging Sapi,Rata-rata DKI Jakarta,149375
2026-06-19,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,43333
2026-06-19,Ikan Kembung,Rata-rata DKI Jakarta,47917
2026-06-19,Kacang Kedelai,Rata-rata DKI Jakarta,17917
2026-06-22,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15516
2026-06-22,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14700
2026-06-22,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13867
2026-06-22,Beras Muncul I,Rata-rata DKI Jakarta,15667
2026-06-22,Beras IR 42/Pera,Rata-rata DKI Jakarta,16404
2026-06-22,Beras Setra I/Premium,Rata-rata DKI Jakarta,16925
2026-06-22,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21533
2026-06-22,Cabe Merah Keriting,Rata-rata DKI Jakarta,54524
2026-06-22,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,61900
2026-06-22,Cabe Rawit Merah,Rata-rata DKI Jakarta,74819
2026-06-22,Cabe Rawit Hijau,Rata-rata DKI Jakarta,59329
2026-06-22,Bawang Merah,Rata-rata DKI Jakarta,55324
2026-06-22,Bawang Putih,Rata-rata DKI Jakarta,44074
2026-06-22,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,148119
2026-06-22,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,148190
2026-06-22,Ayam Broiler/Ras,Rata-rata DKI Jakarta,41744
2026-06-22,Telur Ayam Ras,Rata-rata DKI Jakarta,27500
2026-06-22,Gula Pasir,Rata-rata DKI Jakarta,18509
2026-06-22,Tepung Terigu,Rata-rata DKI Jakarta,11503
2026-06-22,Garam Dapur,Rata-rata DKI Jakarta,4529
2026-06-22,Kentang (sedang),Rata-rata DKI Jakarta,19424
2026-06-22,Tomat Buah,Rata-rata DKI Jakarta,19231
2026-06-22,Kelapa Kupas,Rata-rata DKI Jakarta,14687
2026-06-22,Semangka,Rata-rata DKI Jakarta,13817
2026-06-22,Jeruk Medan,Rata-rata DKI Jakarta,31817
2026-06-22,Daging Kambing,Rata-rata DKI Jakarta,152400
2026-06-22,Daging Babi Berlemak,Rata-rata DKI Jakarta,106167
2026-06-22,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,44095
2026-06-22,Ikan Mas,Rata-rata DKI Jakarta,41733
2026-06-22,Ikan Lele,Rata-rata DKI Jakarta,30650
2026-06-22,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20500
2026-06-22,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-22,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,52250
2026-06-22,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13298
2026-06-22,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12033
2026-06-22,Margarin Blueband Cup,Rata-rata DKI Jakarta,18440
2026-06-22,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10671
2026-06-22,Beras Medium,Rata-rata DKI Jakarta,13500
2026-06-22,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,18729
2026-06-22,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,22396
2026-06-22,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17038
2026-06-22,Daging Sapi,Rata-rata DKI Jakarta,149583
2026-06-22,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,43750
2026-06-22,Ikan Kembung,Rata-rata DKI Jakarta,45417
2026-06-22,Kacang Kedelai,Rata-rata DKI Jakarta,17917
2026-06-23,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15659
2026-06-23,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14569
2026-06-23,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13800
2026-06-23,Beras Muncul I,Rata-rata DKI Jakarta,15733
2026-06-23,Beras IR 42/Pera,Rata-rata DKI Jakarta,16484
2026-06-23,Beras Setra I/Premium,Rata-rata DKI Jakarta,16065
2026-06-23,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,22050
2026-06-23,Cabe Merah Keriting,Rata-rata DKI Jakarta,53200
2026-06-23,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,63400
2026-06-23,Cabe Rawit Merah,Rata-rata DKI Jakarta,72600
2026-06-23,Cabe Rawit Hijau,Rata-rata DKI Jakarta,60132
2026-06-23,Bawang Merah,Rata-rata DKI Jakarta,54769
2026-06-23,Bawang Putih,Rata-rata DKI Jakarta,43998
2026-06-23,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,153821
2026-06-23,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,147857
2026-06-23,Ayam Broiler/Ras,Rata-rata DKI Jakarta,43832
2026-06-23,Telur Ayam Ras,Rata-rata DKI Jakarta,27620
2026-06-23,Gula Pasir,Rata-rata DKI Jakarta,18649
2026-06-23,Tepung Terigu,Rata-rata DKI Jakarta,11430
2026-06-23,Garam Dapur,Rata-rata DKI Jakarta,4763
2026-06-23,Kentang (sedang),Rata-rata DKI Jakarta,19553
2026-06-23,Tomat Buah,Rata-rata DKI Jakarta,19267
2026-06-23,Kelapa Kupas,Rata-rata DKI Jakarta,14833
2026-06-23,Semangka,Rata-rata DKI Jakarta,13643
2026-06-23,Jeruk Medan,Rata-rata DKI Jakarta,31400
2026-06-23,Daging Kambing,Rata-rata DKI Jakarta,153333
2026-06-23,Daging Babi Berlemak,Rata-rata DKI Jakarta,106167
2026-06-23,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,44179
2026-06-23,Ikan Mas,Rata-rata DKI Jakarta,42973
2026-06-23,Ikan Lele,Rata-rata DKI Jakarta,30240
2026-06-23,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20533
2026-06-23,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-23,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,51250
2026-06-23,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13317
2026-06-23,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12100
2026-06-23,Margarin Blueband Cup,Rata-rata DKI Jakarta,17980
2026-06-23,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10717
2026-06-23,Beras Medium,Rata-rata DKI Jakarta,14000
2026-06-23,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,18854
2026-06-23,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,22875
2026-06-23,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17604
2026-06-23,Daging Sapi,Rata-rata DKI Jakarta,150000
2026-06-23,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,42708
2026-06-23,Ikan Kembung,Rata-rata DKI Jakarta,46250
2026-06-23,Kacang Kedelai,Rata-rata DKI Jakarta,18889
2026-06-24,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15322
2026-06-24,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14658
2026-06-24,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13957
2026-06-24,Beras Muncul I,Rata-rata DKI Jakarta,15692
2026-06-24,Beras IR 42/Pera,Rata-rata DKI Jakarta,16503
2026-06-24,Beras Setra I/Premium,Rata-rata DKI Jakarta,16902
2026-06-24,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21967
2026-06-24,Cabe Merah Keriting,Rata-rata DKI Jakarta,50933
2026-06-24,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,61267
2026-06-24,Cabe Rawit Merah,Rata-rata DKI Jakarta,69483
2026-06-24,Cabe Rawit Hijau,Rata-rata DKI Jakarta,57295
2026-06-24,Bawang Merah,Rata-rata DKI Jakarta,53843
2026-06-24,Bawang Putih,Rata-rata DKI Jakarta,44098
2026-06-24,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,152821
2026-06-24,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,148024
2026-06-24,Ayam Broiler/Ras,Rata-rata DKI Jakarta,43166
2026-06-24,Telur Ayam Ras,Rata-rata DKI Jakarta,27407
2026-06-24,Gula Pasir,Rata-rata DKI Jakarta,18599
2026-06-24,Tepung Terigu,Rata-rata DKI Jakarta,11457
2026-06-24,Garam Dapur,Rata-rata DKI Jakarta,4522
2026-06-24,Kentang (sedang),Rata-rata DKI Jakarta,19506
2026-06-24,Tomat Buah,Rata-rata DKI Jakarta,18785
2026-06-24,Kelapa Kupas,Rata-rata DKI Jakarta,14750
2026-06-24,Semangka,Rata-rata DKI Jakarta,13893
2026-06-24,Jeruk Medan,Rata-rata DKI Jakarta,31067
2026-06-24,Daging Kambing,Rata-rata DKI Jakarta,152000
2026-06-24,Daging Babi Berlemak,Rata-rata DKI Jakarta,106167
2026-06-24,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,43579
2026-06-24,Ikan Mas,Rata-rata DKI Jakarta,42457
2026-06-24,Ikan Lele,Rata-rata DKI Jakarta,30413
2026-06-24,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20533
2026-06-24,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-24,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,52250
2026-06-24,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13278
2026-06-24,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12060
2026-06-24,Margarin Blueband Cup,Rata-rata DKI Jakarta,18080
2026-06-24,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10829
